"","plot_name","ddlon","ddlat","Al","Ca","Cu","Fe","Mg","Mn","P","K","Zn","pH","Sand","OM","cec","BIO01","BIO02","BIO03","BIO04","BIO05","BIO06","BIO07","BIO08","BIO09","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19","CLOUDinter","CLOUDintra","CLOUDmean","CLOUDseason","aspect","cnd","ci","elev","hand","lsf","plc","prc","tca","vd","twi","slope","api","hapi","LOGG"
"55","TJK053",10.5485,0.35979,209.55,437.88,14.19,497.5,137.18,700.14,0.08,64.8,2.67,5.04,43.77,13.51,5.07,231.134918212891,45,604.569580078125,608.489074707031,267.054718017578,193.054733276367,74,230.054733276367,222.134918212891,240.054733276367,222.134918212891,2492.84912109375,427.2314453125,5,62.8735694885254,1226.31018066406,31.7761993408203,852.808227539062,31.7761993408203,627.769897460938,591.78662109375,8725.1748046875,40.9923858642578,3.72737526893616,68.5026550292969,-4.26379823684692,419.922515869141,138.531402587891,1.07794547080994,-14629588,-10355651,2.65617427430698e-06,217.433364868164,-16.3003234863281,1.57076644897461,0.326051652431488,0.420661509037018,49
"56","TJK054",10.5828,0.361278,579.6,27.18,0.55,459.01,28.8,4.76,8.61,57.75,1.77,4.34,48.04,13.51,2.76,229.434341430664,45,604.13037109375,607.556823730469,264.919799804688,191,74,228,220.126434326172,237.919815063477,220.126434326172,2412.59594726562,416.961273193359,5,63,1185.2548828125,31,834.948547363281,31,615.341796875,566.116516113281,8739.1396484375,37.3901023864746,3.22811603546143,4.46623229980469,-3.85840606689453,466.271484375,7.77177667617798,17.6425323486328,2202655.25,-9972306,0.0116514433175325,184.47492980957,-10.4159669876099,1.50575339794159,0.305438697338104,0.455270737409592,49
"57","TJK055",10.3768,0.320398,392.28,23.06,0.43,307.19,16.18,2.88,3.47,34.31,0.73,4,58.55,11.69,2.64,248.433181762695,44,597.697204589844,625.963806152344,283.460845947266,209.460861206055,74,246.460861206055,238.460861206055,256.460845947266,238.460861206055,2371.58984375,410.206634521484,5,63.3895797729492,1187.48364257812,31.086763381958,794.907470703125,31.086763381958,711.781372070312,776.115966796875,8489.4365234375,55.331787109375,3.1807587146759,17.2606086730957,0.380196362733841,135.648239135742,26.8216876983643,2.79352140426636,3989983.5,-7211628,0.000847126997541636,235.563873291016,-15.6252765655518,1.54543578624725,0.482820063829422,0.478114128112793,67
"58","TJK056",10.406,0.386473,428.97,13.33,0.33,253.4,20.09,1.86,2.94,38.48,1.14,4.54,78.35,6.86,1.61,242.830169677734,45,601.236206054688,620.664611816406,278.801635742188,204.623550415039,74,241.623550415039,233.801635742188,251.801635742188,233.801635742188,2282.044921875,381.509613037109,4.82191467285156,63,1124.31921386719,29.5934600830078,784.042419433594,29.5934600830078,593.000915527344,551.749816894531,8874.701171875,37.9027099609375,2.51566934585571,6.341064453125,-3.61096119880676,187.103317260742,8.59651184082031,5.736412525177,2690245.75,-12333695,0.00127471378073096,326.416534423828,-13.5929250717163,1.53676688671112,0.402880817651749,0.487145572900772,49
"59","TJK057",10.3491,0.356778,603.41,14.41,1.56,591.68,22.29,2.55,4.56,58.52,0.94,3.97,59.82,11.69,4.21,246.293380737305,44,599.706604003906,623.455444335938,282,208,74,245,237.17951965332,255.17951965332,237.17951965332,2459.22875976562,418.9541015625,5,63,1226.38708496094,32.6409645080566,842.090759277344,32.6409645080566,697.672668457031,650.556701660156,8733.94140625,45.7355194091797,3.61624264717102,2.36141133308411,-5.68117761611938,134.149871826172,7.51628875732422,5.51581287384033,902950.0625,-6929928.5,0.000657703494653106,296.558349609375,-11.3923072814941,1.49560880661011,0.463447362184525,0.566301047801971,67
"60","TJK058",10.9601,0.634563,238.47,25.47,0.2,274.63,35.76,5.81,6.72,49.9,1.19,4.4,85.2,5.19,1.82,234.622909545898,44,609.346740722656,617.181457519531,270.276184082031,197.276184082031,73,232.622909545898,225.622909545898,242.984817504883,225.622909545898,1825.54479980469,313.259704589844,6,60,850.536926269531,30.7238159179688,637.6220703125,30.7238159179688,823.81689453125,793.54345703125,7954.48486328125,60.1470489501953,3.06237769126892,5.14047956466675,-3.95626592636108,384.561584472656,17.5575752258301,10.020188331604,3003859,-13933896,0.00452299742028117,179.064743041992,-11.2038822174072,1.50574290752411,0.209298774600029,0.3735611140728,49
"61","TJK059",10.9642,0.645738,361.14,32.68,0.37,362.23,33.82,4.2,4.13,62.14,1.18,3.98,51.04,9.5,4.35,235.692413330078,44,609.692443847656,618,270.867889404297,197.867904663086,73,233.692413330078,226.692413330078,243.824523925781,226.692413330078,1701.45190429688,291.871948242188,6,60,798.045471191406,28.2761840820312,589.359008789062,28.2761840820312,850.975158691406,811.602233886719,7958.41015625,59.2849388122559,3.33100962638855,9.86687469482422,-2.42127132415771,398.005706787109,17.1647968292236,10.218822479248,6175080.5,-12105012,0.00487418891862035,169.061782836914,-14.1802635192871,1.55482113361359,0.21231646835804,0.387633591890335,49
"62","TJK060",10.8741,0.438612,395.17,44.48,2.02,899.96,22.04,17.94,9.23,65.89,3.14,4.24,27.1,13.62,3.51,240,44,604,618.247802734375,275.016845703125,202,73,238,231,248.016830444336,231,1459.68139648438,247.968170166016,4,62,707.662719726562,20,510.291229248047,20,839.170654296875,824.828002929688,7924.5234375,62.2882881164551,3.85561299324036,0.838793694972992,-4.89250946044922,314.513671875,5.74059820175171,9.70320224761963,736761.25,-2745440.25,0.00572222145274282,206.031158447266,-8.90791988372803,1.46903777122498,0.209299564361572,0.27497872710228,63
"63","TJK061",10.8149,0.474867,256.93,42.88,1.11,379.04,23.6,8.16,6.29,30.62,1.1,4.34,66.87,6.59,1.76,233.177215576172,44.8227882385254,606.177185058594,613.046569824219,268.789123535156,195.177215576172,73,231.789123535156,224.177215576172,241.789123535156,224.177215576172,1542.84008789062,259.990997314453,4,61,749.059753417969,22,535.755676269531,22,802.084838867188,788.453552246094,8221.3623046875,54.2166328430176,3.91976571083069,7.00325536727905,-5.4100170135498,416.940826416016,5.38318729400635,2.37098836898804,1385660.125,-7612604,0.000144200646900572,133.047607421875,-12.1061410903931,1.4911025762558,0.205532312393188,0.318249106407166,49
"64","TJK062",10.8205,0.436618,417.54,5.69,1.56,558.59,11.44,2.63,2.96,36.75,0.74,3.7,31.77,13.88,3.88,232.320755004883,44,605.135009765625,612.06787109375,268.025360107422,194.320755004883,73,231.025344848633,223.320755004883,241.025344848633,223.320755004883,1558.88293457031,263.292785644531,4,62,760.836120605469,20.5908088684082,542.097534179688,20.5908088684082,749.904113769531,748.76611328125,8294.5068359375,51.1711235046387,3.69974517822266,37.2961883544922,6.40132713317871,455.580139160156,48.5534896850586,0.552472770214081,13011933,3548658.25,5.37374546638603e-07,80.685920715332,-17.2118530273438,1.57074439525604,0.211291939020157,0.315747022628784,63
"65","TJK063",13.170715,1.112763,341.41,793.68,1.25,5567.56,108.77,111.01,41.41,193.76,4.12,4.38,73.16,38.07,8.44,215.944763183594,45,625.965087890625,645.702697753906,252.90625,181.794296264648,71,211.944763183594,206.794296264648,224.90625,206.794296264648,2158.33666992188,384.728210449219,33,56,996.320495605469,151.009704589844,755.232543945312,151.009704589844,691.752807617188,398.041076660156,8836.0390625,22.9383277893066,3.30450010299683,277.967224121094,5.38322973251343,859.099365234375,287.406829833984,0.512312114238739,7757862.5,30159974,2.7401495117374e-07,27.1157932281494,-17.8233757019043,1.57075428962708,0.460692077875137,0.455822288990021,16
"66","TJK064",13.169138,1.132038,645.37,42.85,0.31,8223.95,57.69,9.99,84.38,252.4,3.62,3.69,32.27,49.3,11.83,215.464736938477,45,625.967163085938,643.1982421875,252.464736938477,180.80436706543,71,211.543838500977,205.543838500977,224.464736938477,205.543838500977,2114.18408203125,380.990600585938,32.8185844421387,56.2933654785156,987.255554199219,150.455749511719,730.674133300781,150.455749511719,706.703125,522.890747070312,8686.1015625,34.0296897888184,2.83097386360168,301.910583496094,6.74404954910278,910.844299316406,328.461730957031,0.513405978679657,6446860,32019890,3.03529390066615e-07,16.6435794830322,-17.8049468994141,1.57076215744019,0.321923136711121,0.491250336170197,0
"67","TJK074",13.269812,0.66439,402.28,7.55,0.9,603.53,11.69,2.19,4.31,29.48,0.42,3.93,49.96,8.18,3.26,231.293380737305,44,613.032836914062,663.715881347656,268.293365478516,196.032836914062,72,228.032836914062,222,240.293380737305,222,1590.96765136719,280.068328857422,16.6275177001953,57,710.928588867188,85.8168640136719,553.999389648438,85.8168640136719,760.555908203125,680.595458984375,8143.87451171875,41.668140411377,2.60129165649414,5.25975608825684,-0.682436168193817,500.433837890625,9.85960006713867,1.96897530555725,971417.125,-994791.3125,8.72249220265076e-05,171.476165771484,-12.8263244628906,1.50134801864624,0.203544661402702,0.252949565649033,16
"68","TJK075",13.25673,0.662896,347.3,44.9,1.96,315.75,27.73,12.94,3.27,37.66,0.51,4.02,39.98,9.3,3.25,229.87255859375,44,613.628784179688,661.18359375,266.846008300781,194.84602355957,72,226.84602355957,220.243774414062,238.84602355957,220.243774414062,1614.39196777344,282.268920898438,16.5854072570801,57,716.284301757812,85.7225570678711,566.132995605469,85.7225570678711,777.318542480469,685.05615234375,8188.0068359375,41.3446235656738,1.92649555206299,41.1097869873047,2.87440824508667,539.320556640625,49.5957145690918,0.670868694782257,1900429.25,2450693.25,7.57813836571586e-07,132.801666259766,-15.8184394836426,1.56856596469879,0.209712013602257,0.256549805402756,16
"69","TJK078",13.197774,0.757539,349.8,46.62,1.82,372.04,21.52,10.91,3.07,31.09,0.36,4.07,44.2,9.4,3.43,231.075012207031,44,614.138061523438,662.598083496094,268,196,72,227.606414794922,221.075012207031,240,221.075012207031,1631.25646972656,291.127044677734,17.5316390991211,57.6064109802246,738.609130859375,90.7209930419922,569.312194824219,90.7209930419922,746.705871582031,707.702941894531,8293.9775390625,42.7615051269531,2.10402512550354,22.9894065856934,2.4439971446991,521.050842285156,28.5639991760254,0.646383702754974,989302.8125,2908578,6.7346201149121e-07,163.197540283203,-15.392053604126,1.55522263050079,0.320168852806091,0.265163034200668,0
"70","TJK079",13.198464,0.955805,546.53,5.6,0.8,937.2,11.67,2.74,6.83,53.16,0.43,3.63,37.53,15.08,4.51,215.915557861328,44.5675773620605,622.337768554688,647.639221191406,252.736022949219,180.915557861328,71.3880462646484,212.029403686523,206.029403686523,224.736022949219,206.029403686523,2043.21765136719,361.976196289062,26.4669609069824,57,928.385314941406,128.751846313477,706.770263671875,128.751846313477,772.224304199219,455.551940917969,8611.09765625,29.3232288360596,2.59790420532227,201.392715454102,4.20267200469971,844.995849609375,257.941680908203,0.537931084632874,2694544.75,19055810,3.46925304484103e-07,31.5504093170166,-17.5762977600098,1.57021951675415,0.158633604645729,0.280031502246857,16
"71","TJK080",13.222239,1.097522,711.57,17.49,4.57,620.62,23.76,14.35,4.6,81.48,0.77,3.81,49.92,17.75,6.1,209.816543579102,45,627.097534179688,640.982727050781,246.816543579102,175.563674926758,71,205.95458984375,200.563674926758,218.816543579102,200.563674926758,2116.09252929688,374.853210449219,31.4883003234863,56,970.975036621094,147.71760559082,728.075439453125,147.71760559082,734.850952148438,462.135925292969,8663.2119140625,29.6740818023682,2.89516568183899,174.070373535156,-2.0986852645874,899.658325195312,125.744407653809,0.799001455307007,-2483198.25,483773.15625,1.35903269438131e-06,27.0720710754395,-15.6322345733643,1.56806218624115,0.267433106899261,0.387672692537308,16
"72","TJK081",13.200531,1.073586,429.21,5.29,0.78,694.1,8.94,2.67,4.69,35.34,0.36,3.69,45.15,12.24,3.41,210.199951171875,45,626.276123046875,642.719421386719,247.199951171875,176.012771606445,71,206.906585693359,200.906585693359,219.199951171875,200.906585693359,2200.95263671875,389.999786376953,31.9110832214355,56,1007.82318115234,150.107620239258,765.346008300781,150.107620239258,699.522766113281,401.621795654297,8861.306640625,25.4449558258057,2.47842526435852,250.831039428711,1.44071328639984,964.075988769531,251.917205810547,0.590227842330933,-4479594,16189014,4.54096124258285e-07,36.9573745727539,-17.6972560882568,1.57076907157898,0.411947995424271,0.37218701839447,16
"73","TJK082",13.209873,1.120477,785.19,6.36,1.44,782.82,11.83,4.61,5.13,51.3,0.55,3.71,38.67,19.8,5.75,208.4560546875,45,629.236450195312,639.325927734375,245.4560546875,174.412689208984,71,205.066436767578,199.066436767578,217.440353393555,199.066436767578,2185.58959960938,386.280883789062,33.696231842041,56,1001.73913574219,155.757247924805,758.474182128906,155.757247924805,694.223937988281,452.838775634766,8760.455078125,29.8747463226318,4.29490280151367,247.364120483398,3.53162002563477,992.947143554688,186.377899169922,0.552555322647095,-91721.5390625,12995576,3.78087776198299e-07,13.634222984314,-17.2352676391602,1.56578779220581,0.255018919706345,0.431031584739685,16
