"","tax_tax","tax_morpho2"
"1048","Rinorea ilicifolia","Rinorea ilicifolia"
"1049","Rinorea kamerunensis","Rinorea sp1"
"1050","Rinorea longicuspis","Rinorea longicuspis"
"1051","Rinorea longisepala","Rinorea longisepala"
"1052","Rinorea oblongifolia","Rinorea oblongifolia"
"1053","Rinorea parviflora","Rinorea sp1"
"1054","Rinorea subsessilis","Rinorea sp1"
"1055","Rinorea verrucosa","Rinorea sp1"
"1056","Rinorea welwitschii","Rinorea welwitschii"
"1057","Rinorea woermanniana","Rinorea sp1"
"1058","Ritchiea","Ritchiea sp1"
"1059","Ritchiea aprevaliana","Ritchiea aprevaliana"
"1060","Rothmannia","Rothmannia sp1"
"1061","Rothmannia jollyana","Rothmannia jollyana/longiflora"
"1062","Rothmannia lateriflora","Rothmannia lateriflora"
"1063","Rothmannia liebrechtsiana","Rothmannia liebrechtsiana"
"1064","Rothmannia longiflora","Rothmannia jollyana/longiflora"
"1065","Rothmannia lujae","Rothmannia lujae"
"1066","Rothmannia macrocarpa","Rothmannia macrocarpa"
"1067","Rothmannia mayumbensis","Rothmannia mayumbensis"
"1068","Rothmannia munsae","Rothmannia munsae"
"1069","Rothmannia munsae subsp. megalostigma","Rothmannia munsae"
"1070","Rothmannia octomera","Rothmannia octomera"
"1071","Rothmannia whitfieldii","Rothmannia whitfieldii"
"1072","Rytigynia","Rytigynia sp1"
"1073","Sacoglottis gabonensis","Sacoglottis gabonensis"
"1074","Salacia","Salacia sp1"
"1075","Santiria","Santiria sp1"
"1076","Santiria ebo","Santiria sp1"
"1077","Santiria obovata","Santiria sp1"
"1078","Santiria trimera","Santiria sp1"
"1079","Sapium","Sapium sp1"
"1080","Scaphopetalum","Scaphopetalum sp1"
"1081","Scaphopetalum blackii","Scaphopetalum blackii"
"1082","Scaphopetalum thonneri","Scaphopetalum thonneri"
"1083","Schumanniophyton","Schumanniophyton sp1"
"1084","Schumanniophyton magnificum","Schumanniophyton sp1"
"1085","Sclerocroton cornutus","Sclerocroton cornutus"
"1086","Scorodophloeus","Scorodophloeus zenkeri"
"1087","Scorodophloeus zenkeri","Scorodophloeus zenkeri"
"1088","Scottellia","Scottellia klaineana"
"1089","Scottellia coriacea","Scottellia klaineana"
"1090","Scottellia klaineana","Scottellia klaineana"
"1091","Scyphocephalium mannii","Scyphocephalium mannii"
"1092","Scytopetalum","Scytopetalum sp1"
"1093","Scytopetalum klaineanum","Scytopetalum sp1"
"1094","Sericanthe","Sericanthe sp1"
"1095","Sericanthe gabonensis","Sericanthe gabonensis"
"1096","Shirakiopsis","Shirakiopsis elliptica"
"1097","Shirakiopsis elliptica","Shirakiopsis elliptica"
"1098","Sibangea","Sibangea sp1"
"1099","Sindora klaineana","Sindora klaineana"
"1100","Sindoropsis le-testui","Sindoropsis letestui"
"1101","Sindoropsis letestui","Sindoropsis letestui"
"1102","Sorindeia","Sorindeia sp1"
"1103","Sorindeia africana","Sorindeia africana/juglandifolia"
"1104","Sorindeia gabonensis","Sorindeia gabonensis"
"1105","Sorindeia juglandifolia","Sorindeia africana/juglandifolia"
"1106","Sorindeia winkleri","Sorindeia winkleri"
"1107","Soyauxia","Soyauxia sp1"
"1108","Soyauxia gabonensis","Soyauxia gabonensis"
"1109","Soyauxia glabrescens","Soyauxia glabrescens"
"1110","Soyauxia talbotii","Soyauxia sp1"
"1111","Spathandra","Spathandra sp1"
"1112","Spathandra blakeoides","Spathandra sp1"
"1113","Spathodea campanulata","Spathodea campanulata"
"1114","Spondianthus preussii","Spondianthus preussii"
"1115","Stachyothyrsus staudtii","Stachyothyrsus staudtii"
"1116","Staudtia","Staudtia kamerunensis"
"1117","Staudtia kamerunensis","Staudtia kamerunensis"
"1118","Staudtia kamerunensis var. gabonensis","Staudtia kamerunensis"
"1119","Stemonocoleus micranthus","Stemonocoleus micranthus"
"1120","Sterculia","Sterculia sp1"
"1121","Sterculia subviolacea","Sterculia subviolacea"
"1122","Sterculia tragacantha","Sterculia tragacantha"
"1123","Streblus usambarensis","Streblus usambarensis"
"1124","Strephonema","Strephonema sp1"
"1125","Strephonema mannii","Strephonema sp1"
"1126","Strephonema sericeum","Strephonema sp1"
"1127","Strombosia","Strombosia sp1"
"1128","Strombosia grandifolia","Strombosia grandifolia"
"1129","Strombosia pustulata","Strombosia pustulata"
"1130","Strombosia scheffleri","Strombosia scheffleri"
"1131","Strombosia zenkeri","Strombosia zenkeri"
"1132","Strombosiopsis","Strombosiopsis sp1"
"1133","Strombosiopsis sereinii","Strombosiopsis sereinii"
"1134","Strombosiopsis tetrandra","Strombosiopsis tetrandra"
"1135","Strychnos","Strychnos sp1"
"1136","Strychnos camptoneura","Strychnos camptoneura"
"1137","Strychnos elaeocarpa","Strychnos elaeocarpa"
"1138","Strychnos gnetifolia","Strychnos gnetifolia"
"1139","Strychnos staudtii","Strychnos staudtii/zenkeri"
"1140","Symphonia globulifera","Symphonia globulifera"
"1141","Synsepalum","Synsepalum sp1"
"1142","Synsepalum afzelii","Synsepalum afzelii"
"1143","Synsepalum brevipes","Synsepalum brevipes"
"1144","Synsepalum congolense","Synsepalum congolense"
"1145","Synsepalum dulcificum","Synsepalum dulcificum"
"1146","Synsepalum fleuryanum","Synsepalum fleuryanum"
"1147","Synsepalum lastoursvillensis","Synsepalum msolo"
"1148","Synsepalum le-testui","Synsepalum le-testui"
"1149","Synsepalum longicuneatum","Synsepalum longicuneatum"
"1150","Synsepalum msolo","Synsepalum msolo"
"1151","Synsepalum seretii","Synsepalum seretii"
"1152","Synsepalum subcordatum","Synsepalum subcordatum"
"1153","Syzygium","Syzygium sp1"
"1154","Syzygium congolense","Syzygium congolense"
"1155","Syzygium guineense","Syzygium guineense"
"1156","Syzygium guineense subsp. occidentale","Syzygium guineense"
"1157","Syzygium owariense","Syzygium owariense"
"1158","Syzygium staudtii","Syzygium staudtii"
"1159","Tabernaemontana","Tabernaemontana sp1"
"1160","Tabernaemontana crassa","Tabernaemontana crassa"
"1161","Tabernaemontana penduliflora","Tabernaemontana penduliflora"
"1162","Tapura","Tapura sp1"
"1163","Tapura africana","Tapura sp1"
"1164","Tapura bouquetiana","Tapura bouquetiana"
"1165","Tapura le-testui","Tapura sp1"
"1166","Tarenna","Tarenna sp1"
"1167","Tarenna jolinonii","Tarenna jolinonii"
"1168","Tarenna lasiorhachis","Tarenna sp1"
"1169","Tarenna petitii","Tarenna petitii"
"1170","Tarrietia densiflora","Tarrietia densiflora"
"1171","Terminalia superba","Terminalia superba"
"1172","Tessmannia","Tessmannia sp1"
"1173","Tessmannia africana","Tessmannia africana"
"1174","Tessmannia anomala","Tessmannia anomala"
"1175","Tessmannia lescrauwaetii","Tessmannia lescrauwaetii"
"1176","Testulea gabonensis","Testulea gabonensis"
"1177","Tetraberlinia bifoliolata","Tetraberlinia bifoliolata"
"1178","Tetraberlinia longiracemosa","Tetraberlinia longiracemosa"
"1179","Tetraberlinia moreliana","Tetraberlinia moreliana"
"1180","Tetraberlinia polyphylla","Tetraberlinia polyphylla"
"1181","Tetrapleura tetraptera","Tetrapleura tetraptera"
"1182","Tetrorchidium didymostemon","Tetrorchidium didymostemon"
"1183","Thecacoris lucida","Thecacoris lucida"
"1184","Theobroma cacao","Theobroma cacao"
"1185","Thomandersia","Thomandersia sp1"
"1186","Thomandersia butayei","Thomandersia butayei"
"1187","Thomandersia congolana","Thomandersia congolana"
"1188","Thomandersia hensii","Thomandersia sp1"
"1189","Tieghemella africana","Tieghemella africana"
"1190","Toddaliopsis ebolowensis","Vepris sp1"
"1191","Torenia","Torenia sp1"
"1192","Treculia africana","Treculia africana"
"1193","Treculia obovoidea","Treculia obovoidea"
"1194","Tricalysia","Tricalysia sp1"
"1195","Tricalysia anomala","Tricalysia anomala"
"1196","Tricalysia anomala var. guineensis","Tricalysia anomala"
"1197","Tricalysia fangana","Tricalysia sp1"
"1198","Tricalysia hensii","Tricalysia sp1"
"1199","Tricalysia lophocarpa","Tricalysia sp1"
"1200","Tricalysia obstetrix","Tricalysia sp1"
"1201","Tricalysia pallens","Tricalysia sp1"
"1202","Tricalysia pangolina","Tricalysia pangolina"
"1203","Tricalysia pedunculosa","Tricalysia sp1"
"1204","Tricalysia soyauxii","Tricalysia sp1"
"1205","Tricalysia wilksii","Tricalysia sp1"
"1206","Trichilia","Trichilia sp1"
"1207","Trichilia gilgiana","Trichilia gilgiana/gilletii"
"1208","Trichilia gilletii","Trichilia gilgiana/gilletii"
"1209","Trichilia monadelpha","Trichilia monadelpha"
"1210","Trichilia prieuriana","Trichilia prieuriana"
"1211","Trichilia rubescens","Trichilia rubescens"
"1212","Trichilia tessmannii","Trichilia tessmannii"
"1213","Trichilia welwitschii","Trichilia welwitschii"
"1214","Trichoscypha","Trichoscypha sp1"
"1215","Trichoscypha acuminata","Trichoscypha acuminata"
"1216","Trichoscypha arborea","Trichoscypha arborea"
"1217","Trichoscypha argentea","Trichoscypha argentea"
"1218","Trichoscypha bijuga","Trichoscypha sp1"
"1219","Trichoscypha engong","Trichoscypha engong"
"1220","Trichoscypha hallei","Trichoscypha sp1"
"1221","Trichoscypha laxiflora","Trichoscypha laxiflora"
